movie_title,genre,release_date,director,actor,rating,duration,language,country,box_office
Things We Lost in the Fire,thriller,4/26/2017,Alexandre Emer,Mimi Pumfrett,3.5,154,Khmer,China,Yuan Renminbi
Mrs. Henderson Presents,comedy,2/3/2002,Dione Hassent,Scarlet Boom,6.7,164,Malayalam,Mauritania,Ouguiya
Scanners,drama,1/31/2020,Tamra Ligerton,Bertram Dugdale,4.7,121,French,Russia,Ruble
"Isle, The (Seom)",thriller,12/3/2008,Burke Terrett,Marisa Pimer,2.1,88,Irish Gaelic,Indonesia,Rupiah
Despicable Me 2,drama,11/8/2000,Hatty Chrishop,Ailis Ahrend,2.8,120,Icelandic,Egypt,Pound
Double Trouble,action,6/29/2000,Katerina De Ath,Lombard Blencoe,6.3,194,Japanese,Japan,Yen
Kimjongilia,comedy,10/31/2005,Alisha Dumbare,Pincus Mulbery,8.0,71,Montenegrin,China,Yuan Renminbi
Frozen,action,12/26/2019,Desirae Bradberry,Salvador Brugemann,8.1,235,English,Peru,Sol
Moonrise,romance,10/26/2002,Dallas Arran,Birdie Shakespear,5.0,96,Ndebele,China,Yuan Renminbi
Linewatch,romance,4/12/2008,Darsie Castagne,Sandye Stammer,3.1,227,Hungarian,Canada,Dollar
Stranger on the Prowl (Imbarco a mezzanotte),romance,1/16/2013,Lind Jermin,Catina Ferruzzi,1.8,144,Māori,Tanzania,Shilling
V,drama,7/30/2011,Nanice Freiburger,Carly Tompkin,4.9,236,Indonesian,United States,Dollar
Snatch,action,5/21/2001,Thorny Wilstead,Romain McGifford,2.1,199,Tetum,Thailand,Baht
Blackadder Back & Forth,drama,1/2/2001,Carolus McGoogan,Kaylee Giacubbo,9.0,182,German,Indonesia,Rupiah
Gun Crazy (a.k.a. Deadly Is the Female),action,12/28/2005,Baxie Tarbin,Alisha Benton,6.2,213,Kurdish,British Virgin Islands,Dollar
"Little Thief, The (La petite voleuse)",comedy,2/15/2011,Kaitlynn Admans,Sabina Kite,1.9,69,Kashmiri,Czech Republic,Koruna
Princess Mononoke (Mononoke-hime),drama,6/21/2010,Amos Jervois,Lyle Charles,8.7,163,German,Netherlands,Euro
Norma Rae,comedy,7/20/2010,Salli Crossby,Ardys Cory,1.4,152,Amharic,Czech Republic,Koruna
Funny Bones,romance,3/2/2008,Caren Crafter,Cyndy Alberts,2.4,160,Dari,Russia,Ruble
Fright Night 2: New Blood,comedy,4/13/2019,Far Charity,Ki McAuslan,9.4,142,Guaraní,Peru,Sol
Clerks II,thriller,2/20/2013,Regina Guisler,Tripp Shirley,3.8,220,Hungarian,Peru,Sol
Pulse,romance,11/25/2017,Zenia Janaszkiewicz,Ingelbert Bawle,6.5,223,Telugu,Russia,Ruble
Vizontele Tuuba,thriller,1/16/2002,Inger Bellew,Odelia Sanja,5.4,61,Aymara,Portugal,Euro
Teen Wolf Too,romance,4/27/2021,Ellyn Guarin,Lanny Colleran,5.2,237,Afrikaans,China,Yuan Renminbi
20th Century Boys - Chapter 1: Beginning of the End,thriller,11/4/2016,Dudley O'Codihie,Bondie Grimmett,6.0,150,Persian,Russia,Ruble
"Sleep, My Love",thriller,7/20/2014,Nicky Skitral,Blancha Worters,5.3,83,Tetum,China,Yuan Renminbi
"Interpreter, The",romance,7/6/2020,Inga Woodruff,Devi Castaignet,3.0,133,Fijian,South Africa,Rand
Into the Blue,comedy,12/22/2006,Daveen Figure,Bartolemo Puleston,3.9,140,Dutch,Ukraine,Hryvnia
Gulliver's Travels,romance,6/5/2016,Vitia Hatt,Ricki Udall,3.0,96,Hiri Motu,Poland,Zloty
Hoop Dreams,romance,11/9/2008,Ileana Saffin,Lazarus Caudelier,7.6,67,Ndebele,Japan,Yen
Bettie Page Reveals All,action,2/2/2001,Gerri Jahnke,Chloe Hanbury,8.9,106,Papiamento,Peru,Sol
The First Men in the Moon,romance,5/4/2012,Howard Haynes,Luella Otteridge,2.2,218,Hebrew,Ethiopia,Birr
Big Hero 6,drama,7/21/2003,Antons Colville,Karlik Haverson,2.4,204,Luxembourgish,Bolivia,Boliviano
"Blood of a Poet, The (Sang d'un poète, Le)",comedy,10/10/2008,Karlotte Desouza,Prissie Bromhead,2.2,90,Italian,Brazil,Real
Broken Trail,romance,11/5/2003,Gottfried Petren,Penelopa Emmines,8.2,89,Japanese,China,Yuan Renminbi
Picture This,action,2/16/2016,Kilian Redmayne,Web Miguel,8.2,68,French,Indonesia,Rupiah
Don't Tell Mom the Babysitter's Dead,thriller,5/9/2017,Thalia De Hooch,Giusto Meany,1.1,162,Dzongkha,Portugal,Euro
Frostbitten (Frostbiten),drama,8/10/2014,Stacie Abilowitz,Rhona Kalker,7.9,232,Icelandic,China,Yuan Renminbi
Hellraiser III: Hell on Earth,romance,3/21/2008,Dan Inchan,Lynna Dabels,1.7,176,Lao,Philippines,Peso
Möbius,comedy,10/21/2020,Jan Dominici,Valentine Riditch,1.4,237,Indonesian,Tunisia,Dinar
"Nomi Song, The",drama,2/4/2011,Hazel Harpham,Georgeta Kindleside,1.7,158,Marathi,Brazil,Real
"Terrace, The (Terrazza, La)",thriller,2/15/2021,Harbert Pack,Aurore Fynes,5.4,230,Korean,Denmark,Krone
Sleeping Dogs Lie (a.k.a. Stay),comedy,8/18/2012,Gregoor Dalgliesh,Davey Linklater,2.9,232,Maltese,Philippines,Peso
Beyond Therapy,romance,1/27/2003,Auberta Hinkensen,Torrance Kirwin,10.0,177,Tamil,Sweden,Krona
Printed Rainbow,action,10/8/2017,Valera Di Giacomettino,Paddy Perkin,3.0,208,Tsonga,Kyrgyzstan,Som
"Story of a Cheat, The (Roman d'un tricheur, Le)",drama,9/2/2016,Mahala McQuilliam,Filia Verling,8.8,166,French,China,Yuan Renminbi
